mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
8.453390518824259,0.03526184586730775,1.3600607713063557,0.032831551727279036,0.6,0.5,0.0,300,10,0.1,0.5,0.6,"{'subsample': 0.6, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 300, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.9382703366729612,0.93864269475365,0.9353969440253146,0.9374366584839753,0.0014502847857612126,15
37.0967493057251,0.48361404571729333,8.531675736109415,0.24020209879919968,0.8,1.5,1.0,700,10,0.01,0.5,1.0,"{'subsample': 0.8, 'reg_lambda': 1.5, 'reg_alpha': 1, 'n_estimators': 700, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 1.0}",0.9299362979221751,0.9312126362521531,0.9283933158086675,0.9298474166609986,0.001152697372746575,24
13.496795018513998,0.24021346220439593,1.4388799667358398,0.041279502954718106,1.0,1.0,1.0,300,7,0.01,0.0,0.8,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.8}",0.8923843023708609,0.8943918298544968,0.8927269516724418,0.8931676946325998,0.0008768247324238035,44
11.26491665840149,0.044722566671723266,2.072559674580892,0.09614042911753326,0.8,0.5,1.0,500,15,0.2,0.1,0.8,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 1, 'n_estimators': 500, 'max_depth': 15, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.9476750443692331,0.9485080327196387,0.9458872759259354,0.9473567843382691,0.0010933308826448559,3
19.218279441197712,0.6081710319421332,1.8691673278808594,0.0598666334354942,0.6,0.5,0.1,700,5,0.05,0.1,0.6,"{'subsample': 0.6, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.6}",0.9243104665132469,0.9262780988033329,0.9225482505804778,0.9243789386323525,0.001523473720308264,30
16.666288057963055,0.09929756700330318,5.435591300328572,0.14013292878352618,0.6,0.5,0.5,500,15,0.1,0.1,0.8,"{'subsample': 0.6, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 15, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.9480721476435707,0.9489239648007001,0.9458576061947718,0.9476179062130142,0.001292385451523183,2
21.580741087595623,0.249133743615285,3.210722049077352,0.06936172460787089,0.8,2.0,0.0,700,7,0.1,0.0,1.0,"{'subsample': 0.8, 'reg_lambda': 2, 'reg_alpha': 0, 'n_estimators': 700, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 1.0}",0.9475857978185316,0.9489457920096638,0.9454316109365927,0.947321066921596,0.0014468192675491155,4
16.707165638605755,1.837613441662377,2.0079553922017417,0.09253001200640493,1.0,0.5,0.5,1000,5,0.05,0.1,0.8,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.9302246375521218,0.9314958328681702,0.9274176618880612,0.9297127107694511,0.0017038038636851165,25
11.906277100245157,0.09289240021251598,1.1049195925394695,0.00878452384333597,0.6,1.5,0.5,1000,10,0.2,0.5,0.6,"{'subsample': 0.6, 'reg_lambda': 1.5, 'reg_alpha': 0.5, 'n_estimators': 1000, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.9388878388262413,0.9399322508642768,0.9361681651829126,0.9383294182911435,0.0015866023183051475,14
6.699669599533081,0.6056604922485149,0.5649077892303467,0.021962077631065054,0.8,0.5,0.5,500,7,0.2,0.5,1.0,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 7, 'learning_rate': 0.2, 'gamma': 0.5, 'colsample_bytree': 1.0}",0.9358890010621196,0.9362236598140624,0.9330191056855224,0.9350439221872348,0.0014382652790238112,16
5.965211629867554,0.13358629864076074,0.5548309485117594,0.020207773091379576,1.0,2.0,1.0,700,5,0.2,0.5,0.6,"{'subsample': 1.0, 'reg_lambda': 2, 'reg_alpha': 1, 'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.9203485804272244,0.9220144772487935,0.9182656650819566,0.9202095742526581,0.001533599296422568,33
9.823060274124146,0.4832546791614708,1.3362877368927002,0.0272724508849063,1.0,2.0,0.0,500,5,0.1,0.0,0.6,"{'subsample': 1.0, 'reg_lambda': 2, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.6}",0.927523535359115,0.9298777951347776,0.9270149110723486,0.928138747188747,0.0012471007671708033,26
14.033926645914713,0.20675714453512958,0.9652974605560303,0.08776449974292735,0.6,2.0,1.0,700,3,0.01,0.0,0.6,"{'subsample': 0.6, 'reg_lambda': 2, 'reg_alpha': 1, 'n_estimators': 700, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.6}",0.8814630707627508,0.8827158880038442,0.8811919980186208,0.8817903189284052,0.0006637663711523643,48
7.27502195040385,0.11654013254615393,1.1453697681427002,0.010092005169642503,1.0,0.5,0.1,700,15,0.2,0.5,0.6,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 700, 'max_depth': 15, 'learning_rate': 0.2, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.942020919264362,0.9429527967637924,0.9407725911779727,0.9419154357353757,0.0008931850052015608,6
7.1479536692301435,0.23956782443802077,2.666459321975708,0.2099172414073434,0.8,0.5,0.1,100,15,0.05,0.5,0.8,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 15, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.9396061501606604,0.9407346881383019,0.9382039451365588,0.9395149278118403,0.0010351831312738966,11
29.016031344731648,0.1819270306369067,17.678652048110962,0.883700645606438,1.0,0.5,0.0,300,15,0.01,0.5,1.0,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 300, 'max_depth': 15, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 1.0}",0.9280986126433737,0.9294378051194604,0.9267670972533277,0.9281011716720539,0.0010903134222251742,27
